Name,Ticker,Sector,Volume
AGRIPOWER,ALAGP.PA,Pétrole et Gaz,12112
BOOSTHEAT,ALBOO.PA,Pétrole et Gaz,18724615
CGG,CGG.PA,Pétrole et Gaz,8418679
CHARWOOD ENERGY,ALCWE.PA,Pétrole et Gaz,97
DOLFINES,ALDOL.PA,Pétrole et Gaz,10877659
ECOSLOPS,ALESA.PA,Pétrole et Gaz,1680
ENERTIME,ALENE.PA,Pétrole et Gaz,292858
ENOGIA,ALENO.PA,Pétrole et Gaz,6211
ENTECH,ALESE.PA,Pétrole et Gaz,7019
EO2,ALEO2.PA,Pétrole et Gaz,55
ESSO,ES.PA,Pétrole et Gaz,11778
GLOBAL BIOENERGIES,ALGBE.PA,Pétrole et Gaz,9718
GTT (GAZTRANSPORT ET TEC.),GTT.PA,Pétrole et Gaz,105927
HAFFNER ENERGY,ALHAF.PA,Pétrole et Gaz,4589
HRS (HYDROGEN REFUELING SOL.),ALHRS.PA,Pétrole et Gaz,10341
LHYFE,LHYFE.PA,Pétrole et Gaz,35567
MAUREL & PROM,MAU.PA,Pétrole et Gaz,188925
MCPHY ENERGY,MCPHY.PA,Pétrole et Gaz,86761
NHOA,NHOA.PA,Pétrole et Gaz,10195
SEQUA PETROLEUM,MLSEQ.PA,Pétrole et Gaz,10001
SLB,SLB.PA,Pétrole et Gaz,20544
TECHNIP ENERGIES,TE.PA,Pétrole et Gaz,551898
TOTALENERG GAB,EC.PA,Pétrole et Gaz,1193
TOTALENERGIES,TTE.PA,Pétrole et Gaz,3278520
VALLOUREC,VK.PA,Pétrole et Gaz,807161
VERGNET,ALVER.PA,Pétrole et Gaz,30364
WAGA ENERGY,WAGA.PA,Pétrole et Gaz,10029
AFYREN,ALAFY.PA,Matériaux de base,14136
AIR LIQUIDE,AI.PA,Matériaux de base,531236
AMOEBA,ALMIB.PA,Matériaux de base,101933
ARKEMA,AKE.PA,Matériaux de base,133322
AUPLATA MNG GRP,ALAMG.PA,Matériaux de base,222536485
BAIKOWSKI,ALBKK.PA,Matériaux de base,512
CARBIOS,ALCRB.PA,Matériaux de base,13038
COGRA,ALCOG.PA,Matériaux de base,1573
COIL,ALCOI.PA,Matériaux de base,43
ENCRES DUBUIT,ALDUB.PA,Matériaux de base,464
ERAMET,ERA.PA,Matériaux de base,42333
EXACOMPTA,ALEXA.PA,Matériaux de base,74
EXPL & PROD CHIM,EXPL.PA,Matériaux de base,142
FERMENTALG,FALG.PA,Matériaux de base,194722
FLORENTAISE,ALFLO.PA,Matériaux de base,266
GOLD BY GOLD,ALGLD.PA,Matériaux de base,2785
GROUPE BERKEM,ALKEM.PA,Matériaux de base,1528
IMERYS,NK.PA,Matériaux de base,36175
JACQUET METALS,JCQ.PA,Matériaux de base,3301
METABOLIC EXPLORER,METEX.PA,Matériaux de base,14940
MOULINVEST,ALMOU.PA,Matériaux de base,1839
ORAPI,ORAP.PA,Matériaux de base,2272
ROBERTET,RBT.PA,Matériaux de base,291
ROBERTET CI E87,CBE.PA,Matériaux de base,0
ROUGIER S.A.,ALRGR.PA,Matériaux de base,1
ZAMBIA CONS.CAT.B,MLZAM.PA,Matériaux de base,3403
AB SCIENCE,AB.PA,Santé,150271
ABIONYX PHARMA,ABNX.PA,Santé,17046
ABIVAX,ABVX.PA,Santé,12103
ACTICOR BIOTECH,ALACT.PA,Santé,25086
ADOCIA,ADOC.PA,Santé,25488
ADVICENNE,ALDVI.PA,Santé,36783
AELIS FARMA,AELIS.PA,Santé,463
AFFLUENT MEDICAL,AFME.PA,Santé,5409
AMPLITUDE SURG.,AMPLI.PA,Santé,4073
BASTIDE LE CONFORT MED.,BLC.PA,Santé,7599
BIOMERIEUX,BIM.PA,Santé,85884
BIOPHYTIS,ALBPS.PA,Santé,16569616
BIOSYNEX,ALBIO.PA,Santé,9597
BLUELINEA,ALBLU.PA,Santé,1975
BOIRON,BOI.PA,Santé,1797
BONYF,MLBON.PA,Santé,0
CARMAT,ALCAR.PA,Santé,33014
CELLECTIS,ALCLS.PA,Santé,217420
CLARIANE,CLARI.PA,Santé,512193
CLARIANE,CLARI.PA,Santé,512193
CROSSJECT,ALCJ.PA,Santé,58570
DBV TECHNOLOGIES,DBV.PA,Santé,394111
DMS,ALDMS.PA,Santé,4873
ESSILORLUXOTTICA,EL.PA,Santé,399075
EUROAPI,EAPI.PA,Santé,1084381
EUROBIO SCIENTIFIC,ALERS.PA,Santé,6372
EUROFINS SCIENTIFIC,ERF.PA,Santé,210450
EUROMEDIS GROUP,ALEMG.PA,Santé,629
GENEURO,GNRO.PA,Santé,11941
GENFIT,GNFT.PA,Santé,103778
GENOWAY,ALGEN.PA,Santé,10936
GENSIGHT BIOLO.,SIGHT.PA,Santé,329779
GUERBET,GBT.PA,Santé,30208
HYBRIGENICS,ALHYG.PA,Santé,851471
I.CERAM,ALICR.PA,Santé,217
IKONISYS,ALIKO.PA,Santé,3135
IMPLANET,ALIMP.PA,Santé,200119
INNATE PHARMA,IPH.PA,Santé,32046
INTEGRAGEN,ALINT.PA,Santé,1127
INTRASENSE,ALINS.PA,Santé,15502
INVENTIVA,IVA.PA,Santé,62263
IPSEN,IPN.PA,Santé,47113
LNA SANTE,LNA.PA,Santé,4182
LUMIBIRD,LBIRD.PA,Santé,9153
MAAT PHARMA,MAAT.PA,Santé,1386
MAUNA KEA TECHNOLOGIES,ALMKT.PA,Santé,62981
MEDESIS PHARMA,ALMDP.PA,Santé,5674
MEDINCELL,MEDCL.PA,Santé,10098
NANOBIOTIX,NANO.PA,Santé,45363
NEOVACS,ALNEV.PA,Santé,2144
NFL BIOSCIENCES,ALNFL.PA,Santé,13588
NICOX,ALCOX.PA,Santé,20724
NOVACYT,ALNOV.PA,Santé,154454
ONCODESIGN PM,ALOPM.PA,Santé,7675
ORPEA,ORP.PA,Santé,42849817
OSE IMMUNO,OSE.PA,Santé,284994
PHAXIAM THERAPEUTICS,PHXM.PA,Santé,2457
PLANT ADVANCED,ALPAT.PA,Santé,4723
POXEL,POXEL.PA,Santé,70135
PREDILIFE,ALPRE.PA,Santé,721
